day,profit,cycles
2019-12-19 00:00:00+01:00,18.150001525878903,0.0
2021-07-27 00:00:00+02:00,176.4824309878574,0.0
2020-12-13 00:00:00+01:00,10.838899040222168,0.0
2020-01-21 00:00:00+01:00,17.191601181030272,0.0
2020-10-11 00:00:00+02:00,27.855244903724525,0.0
2021-05-30 00:00:00+02:00,106.10487527655826,0.0
2020-09-23 00:00:00+02:00,54.74646389626301,0.0
2021-05-05 00:00:00+02:00,237.73492899119017,0.0
2020-05-17 00:00:00+02:00,0.5720994758605951,0.0
2020-09-10 00:00:00+02:00,30.05999755859375,0.0
2019-11-24 00:00:00+01:00,25.189201087951655,0.0
2019-04-20 00:00:00+02:00,7.333400001525881,0.0
2019-11-30 00:00:00+01:00,41.21443994124636,0.0
2020-11-15 00:00:00+01:00,50.78039500228712,0.0
2020-10-13 00:00:00+02:00,36.720303459167475,0.0
2021-12-28 00:00:00+01:00,105.9348046875,0.0
2021-09-03 00:00:00+02:00,111.12109801581752,0.0
2019-03-27 00:00:00+01:00,10.975600509643556,0.0
2020-07-04 00:00:00+02:00,116.58079983302916,0.0
2019-03-31 00:00:00+01:00,2.345198955535885,0.0
2021-05-20 00:00:00+02:00,122.09520938264082,0.0
2021-04-30 00:00:00+02:00,68.36705564927684,0.0
2020-08-08 00:00:00+02:00,47.44271188327373,0.0
2019-11-09 00:00:00+01:00,5.8899993896484375,0.0
2020-10-08 00:00:00+02:00,26.790000915527344,0.0
2021-12-17 00:00:00+01:00,282.9259056145137,0.0
2021-04-17 00:00:00+02:00,71.9746491959788,0.0
2021-08-24 00:00:00+02:00,153.32930453593792,0.0
2019-03-25 00:00:00+01:00,17.5,0.0
2020-12-31 00:00:00+01:00,14.88319885253906,0.0
2019-04-09 00:00:00+02:00,31.9494987726788,0.0
2020-01-03 00:00:00+01:00,25.281800242662428,0.0
2021-09-25 00:00:00+02:00,250.8593788713912,0.0
2021-01-02 00:00:00+01:00,11.980299949645987,0.0
2020-09-15 00:00:00+02:00,369.6441171856884,0.0
2019-05-28 00:00:00+02:00,66.60749272729859,0.0
2019-08-24 00:00:00+02:00,47.257853125785815,0.0
2021-04-12 00:00:00+02:00,151.65552481533456,0.0
2021-02-12 00:00:00+01:00,104.25142570790094,0.0
2021-10-24 00:00:00+02:00,146.81144754518198,0.0
2020-06-09 00:00:00+02:00,60.929449518842425,0.0
2021-06-02 00:00:00+02:00,53.4293398189393,0.0
2021-01-03 00:00:00+01:00,6.820800857543945,0.0
2020-07-20 00:00:00+02:00,24.92725345969271,0.0
2019-08-02 00:00:00+02:00,9.849098472595216,0.0
2019-10-01 00:00:00+02:00,20.88719867706299,0.0
2019-08-18 00:00:00+02:00,1.8406015777587776,0.0
2020-07-24 00:00:00+02:00,12.177300529479982,0.0
2021-10-01 00:00:00+02:00,353.74420200930183,0.0
2021-05-11 00:00:00+02:00,114.28071865732642,0.0
2021-04-06 00:00:00+02:00,248.29697565209764,0.0
2021-12-17 00:00:00+01:00,230.17765417137144,0.0
2021-03-02 00:00:00+01:00,88.71902747132907,0.0
2020-04-01 00:00:00+02:00,56.876563259407874,0.0
2020-06-13 00:00:00+02:00,1.033000125885014,0.0
2021-02-25 00:00:00+01:00,87.6955931917672,0.0
2020-08-11 00:00:00+02:00,37.64073186604705,0.0
2019-05-02 00:00:00+02:00,39.240339856458064,0.0
2021-02-08 00:00:00+01:00,184.64551685035147,0.0
2019-05-17 00:00:00+02:00,28.502225377392115,0.0
2021-10-14 00:00:00+02:00,270.2414013567996,0.0
2019-11-02 00:00:00+01:00,72.52045424040136,0.0
2020-07-27 00:00:00+02:00,11.19880004882812,0.0
2021-04-27 00:00:00+02:00,124.20799185937516,0.0
2020-02-09 00:00:00+01:00,-12.373600209429858,0.0
2020-07-24 00:00:00+02:00,40.106771955431206,0.0
2019-08-20 00:00:00+02:00,16.622901172637935,0.0
2021-06-21 00:00:00+02:00,94.74912830902062,0.0
2019-03-13 00:00:00+01:00,82.33382413052499,0.0
2021-06-27 00:00:00+02:00,179.77257218849857,0.0
2019-03-04 00:00:00+01:00,-6.696200096011161,0.0
2021-10-02 00:00:00+02:00,145.11166287179952,0.0
2021-07-04 00:00:00+02:00,2.1411012268066596,0.0
2021-01-18 00:00:00+01:00,93.15691628770688,0.0
2019-10-05 00:00:00+02:00,11.56999969482422,0.0
2021-11-25 00:00:00+01:00,415.72274197831536,0.0
2021-11-05 00:00:00+01:00,191.87654376475984,0.0
