day,combo_id,kind,buy_hour,sell_hour,profit
2020-12-10,0,buy_only,1,,322.6780179036262
2020-12-10,1,buy_only,2,,320.6831829425914
2020-12-10,2,buy_only,3,,318.29194393628137
2020-12-10,3,buy_only,4,,319.32668094230536
2020-12-10,4,buy_only,5,,317.88229079458193
2020-12-10,5,buy_only,6,,314.6750340834106
2020-12-10,6,buy_only,7,,315.71866791715064
2020-12-10,7,buy_only,8,,322.74933082589445
2020-12-10,8,buy_only,9,,324.06259964872646
2020-12-10,9,buy_only,10,,322.913763980468
2020-12-10,10,buy_only,11,,336.54418913996705
2020-12-10,11,buy_only,12,,310.31911876211103
2020-12-10,12,buy_only,13,,333.52393590512935
2020-12-10,13,buy_only,14,,312.57540497427107
2020-12-10,14,buy_only,15,,311.39777447772184
2020-12-10,15,buy_only,16,,289.3268406438137
2020-12-10,16,buy_only,17,,316.81121941998816
2020-12-10,17,buy_only,18,,273.15306741386144
2020-12-10,18,buy_only,19,,289.1266175713097
2020-12-10,19,buy_only,20,,310.91128652561696
2020-12-10,20,buy_only,21,,325.11824589966244
2020-12-10,21,buy_only,22,,309.34934356773823
2020-12-10,22,buy_only,23,,306.9498923652263
2020-12-10,23,buy_sell,1,2.0,331.4462518370846
2020-12-10,24,buy_sell,1,3.0,324.6057439525767
2020-12-10,25,buy_sell,1,4.0,325.09376881815416
2020-12-10,26,buy_sell,1,5.0,322.9767583256053
2020-12-10,27,buy_sell,1,6.0,362.61417346324055
2020-12-10,28,buy_sell,1,7.0,314.61037748935263
2020-12-10,29,buy_sell,1,8.0,324.040934715089
2020-12-10,30,buy_sell,1,9.0,322.1460186036397
2020-12-10,31,buy_sell,1,10.0,320.8754725025772
2020-12-10,32,buy_sell,1,11.0,317.9271461920761
2020-12-10,33,buy_sell,1,12.0,329.37978011039405
2020-12-10,34,buy_sell,1,13.0,320.4207242555423
2020-12-10,35,buy_sell,1,14.0,320.263441734138
2020-12-10,36,buy_sell,1,15.0,322.3348276511459
2020-12-10,37,buy_sell,1,16.0,301.3292355840835
2020-12-10,38,buy_sell,1,17.0,312.2778722561505
2020-12-10,39,buy_sell,1,18.0,310.72644694201955
2020-12-10,40,buy_sell,1,19.0,308.653320274293
2020-12-10,41,buy_sell,1,20.0,309.34209291292194
2020-12-10,42,buy_sell,1,21.0,303.4743424089551
2020-12-10,43,buy_sell,1,22.0,301.3855223044705
2020-12-10,44,buy_sell,1,23.0,336.75404713040115
2020-12-10,45,buy_sell,1,24.0,256.7857954637539
2020-12-10,46,buy_sell,2,3.0,323.9648620179682
2020-12-10,47,buy_sell,2,4.0,324.45288688354566
2020-12-10,48,buy_sell,2,5.0,320.9819233645705
2020-12-10,49,buy_sell,2,6.0,360.70097893017004
2020-12-10,50,buy_sell,2,7.0,312.6155425283177
2020-12-10,51,buy_sell,2,8.0,322.04609975405407
2020-12-10,52,buy_sell,2,9.0,320.15118364260485
2020-12-10,53,buy_sell,2,10.0,318.8806375415423
2020-12-10,54,buy_sell,2,11.0,315.9323112310413
2020-12-10,55,buy_sell,2,12.0,327.3849451493592
2020-12-10,56,buy_sell,2,13.0,318.4258892945074
2020-12-10,57,buy_sell,2,14.0,318.26860677310304
2020-12-10,58,buy_sell,2,15.0,320.33999269011105
2020-12-10,59,buy_sell,2,16.0,299.3344006230487
2020-12-10,60,buy_sell,2,17.0,310.283037295115
2020-12-10,61,buy_sell,2,18.0,308.7316119809846
2020-12-10,62,buy_sell,2,19.0,306.65848531325804
2020-12-10,63,buy_sell,2,20.0,307.347257951887
2020-12-10,64,buy_sell,2,21.0,301.4795074479203
2020-12-10,65,buy_sell,2,22.0,299.16538099728285
2020-12-10,66,buy_sell,2,23.0,334.5339058232135
2020-12-10,67,buy_sell,2,24.0,254.56565415656627
2020-12-10,68,buy_sell,3,4.0,322.06164787723577
2020-12-10,69,buy_sell,3,5.0,318.5906843582607
2020-12-10,70,buy_sell,3,6.0,359.44576281804774
2020-12-10,71,buy_sell,3,7.0,310.2243035220077
2020-12-10,72,buy_sell,3,8.0,319.6548607477442
2020-12-10,73,buy_sell,3,9.0,317.7599446362946
2020-12-10,74,buy_sell,3,10.0,316.48939853523274
2020-12-10,75,buy_sell,3,11.0,313.5410722247313
2020-12-10,76,buy_sell,3,12.0,324.9937061430491
2020-12-10,77,buy_sell,3,13.0,316.0346502881975
2020-12-10,78,buy_sell,3,14.0,315.87736776679316
2020-12-10,79,buy_sell,3,15.0,317.94875368380104
2020-12-10,80,buy_sell,3,16.0,296.9431616167387
2020-12-10,81,buy_sell,3,17.0,307.8917982888051
2020-12-10,82,buy_sell,3,18.0,306.3403729746747
2020-12-10,83,buy_sell,3,19.0,304.26724630694815
2020-12-10,84,buy_sell,3,20.0,304.9560189455771
2020-12-10,85,buy_sell,3,21.0,299.0882684416104
2020-12-10,86,buy_sell,3,22.0,296.4438734179154
2020-12-10,87,buy_sell,3,23.0,331.8123982438462
2020-12-10,88,buy_sell,3,24.0,239.43601135305522
2020-12-10,89,buy_sell,4,5.0,319.6254213642845
2020-12-10,90,buy_sell,4,6.0,359.64214315088094
2020-12-10,91,buy_sell,4,7.0,311.2590405280317
2020-12-10,92,buy_sell,4,8.0,320.68959775376806
2020-12-10,93,buy_sell,4,9.0,318.7946816423187
2020-12-10,94,buy_sell,4,10.0,317.5241355412566
2020-12-10,95,buy_sell,4,11.0,314.5758092307553
2020-12-10,96,buy_sell,4,12.0,326.02844314907287
2020-12-10,97,buy_sell,4,13.0,317.06938729422137
2020-12-10,98,buy_sell,4,14.0,316.91210477281703
2020-12-10,99,buy_sell,4,15.0,318.98349068982503
2020-12-10,100,buy_sell,4,16.0,297.97789862276267
2020-12-10,101,buy_sell,4,17.0,308.92653529482897
2020-12-10,102,buy_sell,4,18.0,307.3751099806986
2020-12-10,103,buy_sell,4,19.0,305.301983312972
2020-12-10,104,buy_sell,4,20.0,305.990755951601
2020-12-10,105,buy_sell,4,21.0,300.1230054476343
2020-12-10,106,buy_sell,4,22.0,297.8611216916299
2020-12-10,107,buy_sell,4,23.0,333.2296465175605
2020-12-10,108,buy_sell,4,24.0,253.2613948509138
2020-12-10,109,buy_sell,5,6.0,359.16100620043215
2020-12-10,110,buy_sell,5,7.0,309.81465038030814
2020-12-10,111,buy_sell,5,8.0,318.2823414466789
2020-12-10,112,buy_sell,5,9.0,317.3502914945953
2020-12-10,113,buy_sell,5,10.0,316.07974539353296
2020-12-10,114,buy_sell,5,11.0,313.13141908303186
2020-12-10,115,buy_sell,5,12.0,324.58405300134945
2020-12-10,116,buy_sell,5,13.0,315.62499714649806
2020-12-10,117,buy_sell,5,14.0,315.4677146250934
2020-12-10,118,buy_sell,5,15.0,317.5391005421014
2020-12-10,119,buy_sell,5,16.0,296.5335084750389
2020-12-10,120,buy_sell,5,17.0,307.4821451471068
2020-12-10,121,buy_sell,5,18.0,305.93071983297494
2020-12-10,122,buy_sell,5,19.0,303.8575931652484
2020-12-10,123,buy_sell,5,20.0,304.5463658038777
2020-12-10,124,buy_sell,5,21.0,298.678615299911
2020-12-10,125,buy_sell,5,22.0,294.821371698394
2020-12-10,126,buy_sell,5,23.0,330.18989652432475
2020-12-10,127,buy_sell,5,24.0,250.22164485767763
2020-12-10,128,buy_sell,6,7.0,306.6073936691367
2020-12-10,129,buy_sell,6,8.0,316.0379508948733
2020-12-10,130,buy_sell,6,9.0,314.14303478342396
2020-12-10,131,buy_sell,6,10.0,312.8724886823616
2020-12-10,132,buy_sell,6,11.0,309.92416237186063
2020-12-10,133,buy_sell,6,12.0,321.376796290178
2020-12-10,134,buy_sell,6,13.0,312.4177404353259
2020-12-10,135,buy_sell,6,14.0,312.2604579139219
2020-12-10,136,buy_sell,6,15.0,314.33184383093027
2020-12-10,137,buy_sell,6,16.0,293.3262517638671
2020-12-10,138,buy_sell,6,17.0,304.2748884359343
2020-12-10,139,buy_sell,6,18.0,302.7234631218036
2020-12-10,140,buy_sell,6,19.0,300.65033645407703
2020-12-10,141,buy_sell,6,20.0,301.3391090927062
2020-12-10,142,buy_sell,6,21.0,295.4713585887395
2020-12-10,143,buy_sell,6,22.0,292.10510216253005
2020-12-10,144,buy_sell,6,23.0,327.4736269884607
