,2021-04-27 00:00:00+02:00,2021-04-27 00:15:00+02:00,2021-04-27 00:30:00+02:00,2021-04-27 00:45:00+02:00,2021-04-27 01:00:00+02:00,2021-04-27 01:15:00+02:00,2021-04-27 01:30:00+02:00,2021-04-27 01:45:00+02:00,2021-04-27 02:00:00+02:00,2021-04-27 02:15:00+02:00,2021-04-27 02:30:00+02:00,2021-04-27 02:45:00+02:00,2021-04-27 03:00:00+02:00,2021-04-27 03:15:00+02:00,2021-04-27 03:30:00+02:00,2021-04-27 03:45:00+02:00,2021-04-27 04:00:00+02:00,2021-04-27 04:15:00+02:00,2021-04-27 04:30:00+02:00,2021-04-27 04:45:00+02:00,2021-04-27 05:00:00+02:00,2021-04-27 05:15:00+02:00,2021-04-27 05:30:00+02:00,2021-04-27 05:45:00+02:00,2021-04-27 06:00:00+02:00,2021-04-27 06:15:00+02:00,2021-04-27 06:30:00+02:00,2021-04-27 06:45:00+02:00,2021-04-27 07:00:00+02:00,2021-04-27 07:15:00+02:00,2021-04-27 07:30:00+02:00,2021-04-27 07:45:00+02:00,2021-04-27 08:00:00+02:00,2021-04-27 08:15:00+02:00,2021-04-27 08:30:00+02:00,2021-04-27 08:45:00+02:00,2021-04-27 09:00:00+02:00,2021-04-27 09:15:00+02:00,2021-04-27 09:30:00+02:00,2021-04-27 09:45:00+02:00,2021-04-27 10:00:00+02:00,2021-04-27 10:15:00+02:00,2021-04-27 10:30:00+02:00,2021-04-27 10:45:00+02:00,2021-04-27 11:00:00+02:00,2021-04-27 11:15:00+02:00,2021-04-27 11:30:00+02:00,2021-04-27 11:45:00+02:00,2021-04-27 12:00:00+02:00,2021-04-27 12:15:00+02:00,2021-04-27 12:30:00+02:00,2021-04-27 12:45:00+02:00,2021-04-27 13:00:00+02:00,2021-04-27 13:15:00+02:00,2021-04-27 13:30:00+02:00,2021-04-27 13:45:00+02:00,2021-04-27 14:00:00+02:00,2021-04-27 14:15:00+02:00,2021-04-27 14:30:00+02:00,2021-04-27 14:45:00+02:00,2021-04-27 15:00:00+02:00,2021-04-27 15:15:00+02:00,2021-04-27 15:30:00+02:00,2021-04-27 15:45:00+02:00,2021-04-27 16:00:00+02:00,2021-04-27 16:15:00+02:00,2021-04-27 16:30:00+02:00,2021-04-27 16:45:00+02:00,2021-04-27 17:00:00+02:00,2021-04-27 17:15:00+02:00,2021-04-27 17:30:00+02:00,2021-04-27 17:45:00+02:00,2021-04-27 18:00:00+02:00,2021-04-27 18:15:00+02:00,2021-04-27 18:30:00+02:00,2021-04-27 18:45:00+02:00,2021-04-27 19:00:00+02:00,2021-04-27 19:15:00+02:00,2021-04-27 19:30:00+02:00,2021-04-27 19:45:00+02:00,2021-04-27 20:00:00+02:00,2021-04-27 20:15:00+02:00,2021-04-27 20:30:00+02:00,2021-04-27 20:45:00+02:00,2021-04-27 21:00:00+02:00,2021-04-27 21:15:00+02:00,2021-04-27 21:30:00+02:00,2021-04-27 21:45:00+02:00,2021-04-27 22:00:00+02:00,2021-04-27 22:15:00+02:00,2021-04-27 22:30:00+02:00,2021-04-27 22:45:00+02:00,2021-04-27 23:00:00+02:00,2021-04-27 23:15:00+02:00,2021-04-27 23:30:00+02:00,2021-04-27 23:45:00+02:00
2021-04-26 18:45:00+02:00,65.2344578313253,59.002222222222215,,42.79615384615386,,,48.788372093023256,,49.48904761904762,,49.176373626373625,57.51486486486486,,,,,,,,,,,,69.36518072289158,,,,93.75646666666667,,,,70.0157284768212,105.33227272727272,85.9816,70.21102040816325,56.36196428571429,,69.69732142857143,,44.930206896551724,,,,34.108823529411765,,,,,48.756521739130434,51.358999999999995,,,,,,,,40.945882352941176,,,,41.371358381502915,,,,,,,,,,,41.44964071856288,,,,,,,,,,66.39387096774193,52.86829443447038,,,55.49999999999999,34.995856353591165,,,,46.47673913043479,,,,
2021-04-26 19:00:00+02:00,,,,,,,,,,,,,47.782758620689656,,,,,,,,47.436111111111124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.89,,,,,,,,,,,,
2021-04-26 19:15:00+02:00,,,,,,,,,,,,,,,,,51.73404255319151,50.06175438596492,52.845238095238074,53.65,,,,,52.77472868217055,64.50549450549451,78.5613924050633,95.06237804878046,76.98899441340782,85.80921787709498,74.3396855345912,71.80188235294118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.32000000000001,,,,,,,,,,,,
2021-04-26 19:30:00+02:00,,,,42.580000000000005,,,,,,,,,47.862597402597395,50.56617283950617,51.05848958333334,55.5766875,,,,,,,,,52.13073619631901,,,,,,,,,,68.83694444444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.37181818181818,,,,,,,,,,,,,,,,,,54.669666666666664,,,,,,,,,
2021-04-26 19:45:00+02:00,66.75846153846152,59.15766233766233,48.99540229885058,43.33678160919541,59.25655913978494,54.01292682926829,50.420163043478254,45.63832258064516,,,,,,,50.07958333333334,,,,,,,,,,,,,,,,,,,,,55.173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-26 20:00:00+02:00,66.96684210526318,59.175471698113206,50.26254901960784,45.343265306122454,59.58943089430894,55.887368421052635,51.39171875000001,47.363046875,,,,59.882371134020616,,,,,,,,,48.352391304347826,,,,,,,94.7612669683258,,,,,,,,55.399476190476186,,,,,,,,,,,,,,,48.02461538461538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-26 20:15:00+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.000961538461524,,,,,,,,,,,,,,,,,,,,,,
2021-04-26 20:30:00+02:00,,58.468749999999986,49.35319999999999,,,,,,50.59789855072464,,,59.95433070866142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-26 20:45:00+02:00,,,49.14894736842106,43.7776811594203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.43616071428572,,,,,,,,,,,,,,,,,,,,,26.271612903225808,,,,,,,,,,,,,,,,,,,,,,,,,56.11153846153846,,,,,,
2021-04-26 21:00:00+02:00,65.8747308319739,57.78791397849462,50.01772853185595,44.96079002079002,59.20601851851853,56.511853932584295,50.962727272727264,48.55095238095238,50.78718750000001,,51.107600000000005,,,51.400919540229886,50.841810344827586,,52.697625,50.28124999999999,,54.63778523489932,,,,,52.906547619047615,,,,,,,,,,,,,,,44.202702702702695,67.50500000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.831376146789,,,,,,,,
2021-04-26 21:15:00+02:00,64.61912871287129,55.52962732919254,,46.45545454545454,,,49.47441558441558,,,,49.7299358974359,,,49.21052631578947,,,50.654826666666665,48.78008547008547,,,48.076025974025974,48.72369230769231,61.92019161676647,66.07597510373444,51.6689247311828,65.66176470588236,77.81730612244897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-26 21:30:00+02:00,64.25293762575453,54.58785310734463,48.46317953861585,47.248605769230764,,55.06,,,,48.73476923076923,,,,,,,,,,,48.10921052631579,49.169736842105266,62.16644736842106,66.13947916666663,,,,,,,,,,,68.70262626262627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-26 21:45:00+02:00,63.92777777777778,,45.04941391941392,,57.86823899371067,,,,50.00690909090909,50.3140703517588,51.685980148883374,60.77501182033098,,,,,,,,,,,62.07068965517242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-26 22:00:00+02:00,64.97366500829187,53.4781914893617,45.16392380952381,45.03806136680614,57.82425531914893,,,47.39896551724138,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.93147783251231,,,,42.30423076923077,,54.390196078431366,,,,,,,48.320833333333326,,,,,,37.81000000000001,29.01076923076923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.779230769230765,,,,,
2021-04-26 22:15:00+02:00,67.20290502793297,60.705400843881854,46.68484232655922,45.653383668903814,55.587502270663045,54.0845174825175,50.28404347826088,49.57236714975846,50.38205607476636,53.95929687500001,54.23108465608465,61.679535095715586,50.94840753424656,53.03683969465648,54.38913333333333,58.758879598662205,51.55090909090909,50.519412628487515,56.030125156445564,57.17510606060606,49.451206896551724,50.957225806451596,57.695964912280715,66.91782258064515,,,69.65491803278688,,77.58181818181818,77.01701834862386,,73.44796511627908,100.0874432677761,,69.43786885245902,,,,,,,,,,,,,,48.34166666666667,,,,,,,,,,,,,,,,,,,,,,,,39.610096153846165,54.504128440366976,,105.68911764705884,64.099,70.5375,87.98375366568915,89.03932835820895,101.81621621621622,,,,92.42098445595857,,,33.59189309576837,,,,44.01419847328245,,,,
2021-04-26 22:30:00+02:00,66.05429149797571,59.979113573407204,48.40666666666665,45.99649880095923,56.1334962406015,54.68576791808875,51.44415472779368,48.96629310344828,,51.293191489361696,,,,52.34870967741936,,,51.04059405940594,,,,,52.24358333333333,,67.51732954545454,49.23251660026561,66.20833876221498,75.22518421052632,96.24068035943517,77.38931297709924,,,74.18904761904763,106.80012987012987,84.88818713450291,69.45097142857144,54.82165048543689,,,,,67.68700000000001,,,,,,,,,,,,,,,,,41.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.293121693121705,33.84990963855422,71.02,,,,,,,
2021-04-26 22:45:00+02:00,66.30828885400314,60.93332949308755,48.49333333333333,44.13309771309771,60.21066666666667,,49.32026490066225,47.74628205128205,,,,,,,,,,,,58.905641025641025,,,,,50.196363636363635,,,,75.52458823529412,,74.36424242424243,,,,,,,,,,,,,,,,,45.31348314606742,,,,,,,,,,,,,,,,,,,52.83736842105263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-26 23:00:00+02:00,67.08008984725966,58.46733177570094,44.15530601659751,41.37569719282099,58.94323092170466,60.91047231270358,51.00993630573248,48.905458483754515,50.38498599439776,52.57063291139242,55.9547256097561,61.216422976501306,,,,59.97235294117647,52.717137809187285,51.89347891566265,59.884523809523806,59.35904569892474,,,,,55.54897619047618,71.58907859078593,82.71421853388661,101.81186246418338,77.10385542168677,,,,,,,,,,,,,,42.99933333333333,,,,,,,,,,,,,28.9926582278481,,,,,,,,,,,53.789358974358976,63.328717948717944,,47.87781250000001,61.03118421052631,78.56881188118811,41.584295081967205,55.386133603238854,76.67433106575965,102.27205128205127,,72.43102564102564,,,,,,,,,,,,,,,,,,
