,2019-03-31 00:00:00+01:00,2019-03-31 00:15:00+01:00,2019-03-31 00:30:00+01:00,2019-03-31 00:45:00+01:00,2019-03-31 01:00:00+01:00,2019-03-31 01:15:00+01:00,2019-03-31 01:30:00+01:00,2019-03-31 01:45:00+01:00,2019-03-31 03:00:00+02:00,2019-03-31 03:15:00+02:00,2019-03-31 03:30:00+02:00,2019-03-31 03:45:00+02:00,2019-03-31 04:00:00+02:00,2019-03-31 04:15:00+02:00,2019-03-31 04:30:00+02:00,2019-03-31 04:45:00+02:00,2019-03-31 05:00:00+02:00,2019-03-31 05:15:00+02:00,2019-03-31 05:30:00+02:00,2019-03-31 05:45:00+02:00,2019-03-31 06:00:00+02:00,2019-03-31 06:15:00+02:00,2019-03-31 06:30:00+02:00,2019-03-31 06:45:00+02:00,2019-03-31 07:00:00+02:00,2019-03-31 07:15:00+02:00,2019-03-31 07:30:00+02:00,2019-03-31 07:45:00+02:00,2019-03-31 08:00:00+02:00,2019-03-31 08:15:00+02:00,2019-03-31 08:30:00+02:00,2019-03-31 08:45:00+02:00,2019-03-31 09:00:00+02:00,2019-03-31 09:15:00+02:00,2019-03-31 09:30:00+02:00,2019-03-31 09:45:00+02:00,2019-03-31 10:00:00+02:00,2019-03-31 10:15:00+02:00,2019-03-31 10:30:00+02:00,2019-03-31 10:45:00+02:00,2019-03-31 11:00:00+02:00,2019-03-31 11:15:00+02:00,2019-03-31 11:30:00+02:00,2019-03-31 11:45:00+02:00,2019-03-31 12:00:00+02:00,2019-03-31 12:15:00+02:00,2019-03-31 12:30:00+02:00,2019-03-31 12:45:00+02:00,2019-03-31 13:00:00+02:00,2019-03-31 13:15:00+02:00,2019-03-31 13:30:00+02:00,2019-03-31 13:45:00+02:00,2019-03-31 14:00:00+02:00,2019-03-31 14:15:00+02:00,2019-03-31 14:30:00+02:00,2019-03-31 14:45:00+02:00,2019-03-31 15:00:00+02:00,2019-03-31 15:15:00+02:00,2019-03-31 15:30:00+02:00,2019-03-31 15:45:00+02:00,2019-03-31 16:00:00+02:00,2019-03-31 16:15:00+02:00,2019-03-31 16:30:00+02:00,2019-03-31 16:45:00+02:00,2019-03-31 17:00:00+02:00,2019-03-31 17:15:00+02:00,2019-03-31 17:30:00+02:00,2019-03-31 17:45:00+02:00,2019-03-31 18:00:00+02:00,2019-03-31 18:15:00+02:00,2019-03-31 18:30:00+02:00,2019-03-31 18:45:00+02:00,2019-03-31 19:00:00+02:00,2019-03-31 19:15:00+02:00,2019-03-31 19:30:00+02:00,2019-03-31 19:45:00+02:00,2019-03-31 20:00:00+02:00,2019-03-31 20:15:00+02:00,2019-03-31 20:30:00+02:00,2019-03-31 20:45:00+02:00,2019-03-31 21:00:00+02:00,2019-03-31 21:15:00+02:00,2019-03-31 21:30:00+02:00,2019-03-31 21:45:00+02:00,2019-03-31 22:00:00+02:00,2019-03-31 22:15:00+02:00,2019-03-31 22:30:00+02:00,2019-03-31 22:45:00+02:00,2019-03-31 23:00:00+02:00,2019-03-31 23:15:00+02:00,2019-03-31 23:30:00+02:00,2019-03-31 23:45:00+02:00
2019-03-30 19:45:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-30 20:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-30 20:15:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-30 20:30:00+01:00,,,,,,,6.804900398406374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-30 20:45:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.86049999999999,,,,,,,
2019-03-30 21:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-30 21:15:00+01:00,54.30828947368422,33.8014004914005,8.996446700507615,7.979039301310043,34.418908045977005,19.919191759112522,20.625149253731347,35.61847107438016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-30 21:30:00+01:00,64.76363636363635,,8.0,7.000000000000001,,,,,,,,,,17.52114379084967,29.999043927648575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-30 21:45:00+01:00,68.96468623481782,25.847710144927536,8.684684684684685,4.297345276872964,,,,,,,,,,,,,,,,,,,,,20.378152709359604,16.630693333333337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.155172413793103,,,,,,,,,,,,,,,,53.21544262295082,41.54452887537994,24.879435028248587,12.277058823529412,,,-2.367063492063492,-3.2159999999999997,,,,-7.296
2019-03-30 22:00:00+01:00,54.168118811881186,25.0,8.999999999999998,7.000000000000001,37.08784615384615,18.0,18.0,30.392052980132448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-30 22:15:00+01:00,61.2883185840708,25.0,9.161144945188795,7.303875968992248,,,,,,,,,5.0,,,,15.719444444444443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-30 22:30:00+01:00,61.013598553345396,24.985245901639345,13.688614457831324,14.480493827160494,,,,,14.173766666666669,14.066435986159169,,,5.0,19.36520661157025,29.991148936170212,45.41072916666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-30 22:45:00+01:00,,,,,,,,,,,,,4.999666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-30 23:00:00+01:00,50.521446862996164,26.33473105134474,22.475411089866157,20.7095652173913,36.76458333333334,18.0,18.0,40.792749244713,,,,,5.133566058002149,19.283625954198477,30.0,50.216853625171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-30 23:15:00+01:00,,,,,24.11465517241379,,,48.82095238095238,17.862960288808665,19.435638686131384,33.53634090909091,37.96044843049327,13.580279999999998,18.000000000000004,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.903879310344827,18.39,,,,,,,,,,,,,,,,,,,,,,,,,,19.190000000000005
2019-03-30 23:30:00+01:00,42.91662650602409,,24.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-30 23:45:00+01:00,43.09357142857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-31 00:00:00+01:00,45.2735413153457,34.661715976331365,25.025384615384613,22.17921524663677,33.59845528455285,,,,,,13.014972677595631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-31 00:15:00+01:00,40.92899598393575,34.14535211267606,25.28986425339366,21.146502242152465,29.80496732026144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-31 00:30:00+01:00,40.69083161512028,31.433261538461537,8.816166666666666,9.17695067264574,27.735142857142854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
