,2019-07-17 00:00:00+02:00,2019-07-17 00:15:00+02:00,2019-07-17 00:30:00+02:00,2019-07-17 00:45:00+02:00,2019-07-17 01:00:00+02:00,2019-07-17 01:15:00+02:00,2019-07-17 01:30:00+02:00,2019-07-17 01:45:00+02:00,2019-07-17 02:00:00+02:00,2019-07-17 02:15:00+02:00,2019-07-17 02:30:00+02:00,2019-07-17 02:45:00+02:00,2019-07-17 03:00:00+02:00,2019-07-17 03:15:00+02:00,2019-07-17 03:30:00+02:00,2019-07-17 03:45:00+02:00,2019-07-17 04:00:00+02:00,2019-07-17 04:15:00+02:00,2019-07-17 04:30:00+02:00,2019-07-17 04:45:00+02:00,2019-07-17 05:00:00+02:00,2019-07-17 05:15:00+02:00,2019-07-17 05:30:00+02:00,2019-07-17 05:45:00+02:00,2019-07-17 06:00:00+02:00,2019-07-17 06:15:00+02:00,2019-07-17 06:30:00+02:00,2019-07-17 06:45:00+02:00,2019-07-17 07:00:00+02:00,2019-07-17 07:15:00+02:00,2019-07-17 07:30:00+02:00,2019-07-17 07:45:00+02:00,2019-07-17 08:00:00+02:00,2019-07-17 08:15:00+02:00,2019-07-17 08:30:00+02:00,2019-07-17 08:45:00+02:00,2019-07-17 09:00:00+02:00,2019-07-17 09:15:00+02:00,2019-07-17 09:30:00+02:00,2019-07-17 09:45:00+02:00,2019-07-17 10:00:00+02:00,2019-07-17 10:15:00+02:00,2019-07-17 10:30:00+02:00,2019-07-17 10:45:00+02:00,2019-07-17 11:00:00+02:00,2019-07-17 11:15:00+02:00,2019-07-17 11:30:00+02:00,2019-07-17 11:45:00+02:00,2019-07-17 12:00:00+02:00,2019-07-17 12:15:00+02:00,2019-07-17 12:30:00+02:00,2019-07-17 12:45:00+02:00,2019-07-17 13:00:00+02:00,2019-07-17 13:15:00+02:00,2019-07-17 13:30:00+02:00,2019-07-17 13:45:00+02:00,2019-07-17 14:00:00+02:00,2019-07-17 14:15:00+02:00,2019-07-17 14:30:00+02:00,2019-07-17 14:45:00+02:00,2019-07-17 15:00:00+02:00,2019-07-17 15:15:00+02:00,2019-07-17 15:30:00+02:00,2019-07-17 15:45:00+02:00,2019-07-17 16:00:00+02:00,2019-07-17 16:15:00+02:00,2019-07-17 16:30:00+02:00,2019-07-17 16:45:00+02:00,2019-07-17 17:00:00+02:00,2019-07-17 17:15:00+02:00,2019-07-17 17:30:00+02:00,2019-07-17 17:45:00+02:00,2019-07-17 18:00:00+02:00,2019-07-17 18:15:00+02:00,2019-07-17 18:30:00+02:00,2019-07-17 18:45:00+02:00,2019-07-17 19:00:00+02:00,2019-07-17 19:15:00+02:00,2019-07-17 19:30:00+02:00,2019-07-17 19:45:00+02:00,2019-07-17 20:00:00+02:00,2019-07-17 20:15:00+02:00,2019-07-17 20:30:00+02:00,2019-07-17 20:45:00+02:00,2019-07-17 21:00:00+02:00,2019-07-17 21:15:00+02:00,2019-07-17 21:30:00+02:00,2019-07-17 21:45:00+02:00,2019-07-17 22:00:00+02:00,2019-07-17 22:15:00+02:00,2019-07-17 22:30:00+02:00,2019-07-17 22:45:00+02:00,2019-07-17 23:00:00+02:00,2019-07-17 23:15:00+02:00,2019-07-17 23:30:00+02:00,2019-07-17 23:45:00+02:00
2019-07-16 16:15:00+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-16 16:30:00+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-16 16:45:00+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-16 17:00:00+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-16 17:15:00+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-16 17:30:00+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-16 17:45:00+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-16 18:00:00+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-16 18:15:00+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-16 18:30:00+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-16 18:45:00+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-16 19:00:00+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-16 19:15:00+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-16 19:30:00+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-16 19:45:00+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-16 20:00:00+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-16 20:15:00+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.3584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-16 20:30:00+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-16 20:45:00+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-16 21:00:00+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-16 21:15:00+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-16 21:30:00+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-16 21:45:00+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-16 22:00:00+02:00,,36.427673469387756,,36.31852941176471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-16 22:15:00+02:00,,,,,,,,,38.24446428571429,37.58191616766467,37.69446428571429,38.34446428571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-16 22:30:00+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-16 22:45:00+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-16 23:00:00+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-16 23:15:00+02:00,42.659194630872484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-16 23:30:00+02:00,43.88039215686275,36.19440366972478,39.951232876712325,36.5858844765343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-16 23:45:00+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-17 00:00:00+02:00,,,,,36.498125,,,,,,,,,,,,,,,,,,,46.6715,,,,,,,51.46636363636363,,,,,44.511826086956525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.87815789473683,,,,,,,,,,,,,,,,,,,,,,,
2019-07-17 00:15:00+02:00,,,,,,,,,,34.747115384615384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-17 00:30:00+02:00,44.55015384615385,,,,33.263316831683156,38.75879746835443,,,,,,,,,,,,,,,32.01872413793104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-17 00:45:00+02:00,,38.99951965065502,,,32.857860962566846,38.65566666666667,37.93021052631579,36.44832236842106,,,,,,,,,,,,,,33.98568181818182,,,,,,,,,,,,,,,,,,,,,,,52.85142857142858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-17 01:00:00+02:00,40.3290989010989,36.442244897959185,37.94553299492385,37.47662698412699,32.888275862068966,,,,,,,,,,,,,,,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-17 01:15:00+02:00,40.755395683453244,,,,,,,,34.29417061611374,,,,,,,,,,,,33.19555118110237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-17 01:30:00+02:00,36.475430769230776,35.67041994750656,32.01531746031746,33.53957627118644,,,37.49740458015267,35.93878048780488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-17 01:45:00+02:00,30.939918699186993,33.133264311814855,30.36969111969112,31.57735459662289,32.554793028322436,,,,33.12488095238096,33.36111111111111,38.87073619631903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-17 02:00:00+02:00,30.039651741293532,31.627784431137723,28.07338983050847,26.958838709677426,34.03556438791733,,37.66953757225434,35.87122866894198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-17 02:15:00+02:00,,,37.56532075471698,27.797275405007362,33.78466346153846,36.07923875432526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-17 02:30:00+02:00,,,37.80479853479854,37.16240282685512,35.539247730220495,44.91600566572239,37.444862183020945,36.62101515151515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-17 02:45:00+02:00,,,,35.535493827160494,26.729049429657795,38.405277777777776,39.099628252788115,39.7175,35.563399999999994,33.24182456140351,38.029940476190475,38.123839285714276,31.697823834196893,33.705604026845634,,,31.124817708333335,31.997113821138214,,,,,,,31.75124548736462,,,,,,,,66.30561224489796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-17 03:00:00+02:00,,,,,28.270841121495323,39.2776076555024,38.86969855832241,43.06609865470851,34.64954703832752,35.42823943661972,,,,,,,31.885283505154632,,,,32.73854077253219,35.188814229249004,39.396379310344834,44.835852272727266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-17 03:15:00+02:00,,,,,,29.53872131147541,28.220408163265304,37.591689750692524,34.30288343558283,,,,33.22515384615384,33.249152542372876,,38.926057347670245,,,,,34.38864016736402,36.89680327868853,40.323884007029875,43.924748358862146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-17 03:30:00+02:00,,,,,,,32.12375,,26.847772621809742,35.86829192546584,35.38227979274611,36.131592039801,34.051488372093026,34.44177083333334,,,32.88825563909775,34.52157545605307,,,34.88165816326532,36.32841509433962,,,34.08435158501441,46.53024691358025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-17 03:45:00+02:00,,,,,,,,28.83171929824561,18.319846153846157,33.92956521739131,31.91017857142857,35.60664739884393,33.47974137931034,33.27913946587536,33.99851162790697,36.741099290780134,,,,39.90163888888888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-17 04:00:00+02:00,,,,,,,,,48.596259904912834,43.54321492007105,35.34083499005965,33.83066193853428,,,33.0876094890511,,33.32291666666667,34.59204545454545,38.10218749999999,42.175824175824175,35.646788990825684,37.53607003891051,39.84502164502164,44.73196923076923,,,,54.38471014492753,,,,,62.71290322580645,,,,56.33244575936884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-17 04:15:00+02:00,,,,,,,,,,41.12650306748467,27.25544642857143,39.13657971014493,30.278147268408546,33.33178451178451,33.07301104972375,34.74579418344519,,,38.37602870813397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-17 04:30:00+02:00,,,,,,,,,,,,44.211103752759385,35.15526261585994,36.48978142076503,33.79086816720257,34.123925120772945,34.025608695652174,34.95652582159624,39.01645833333334,,36.094268292682926,36.606062992125985,39.36656108597285,,34.22159550561798,44.86200000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-17 04:45:00+02:00,,,,,,,,,,,,42.28508620689655,31.0159171597633,38.555059880239526,36.24966666666667,35.5794140625,35.241121076233185,35.502399999999994,38.6422018348624,40.02960869565218,,,,42.20636015325671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-17 05:00:00+02:00,,,,,,,,,,,,,34.78988538681949,41.38134328358209,40.00221079691517,34.942011494252874,34.79923566878981,36.09048611111111,,42.08802631578947,35.650598669623065,35.94803088803089,,,35.21702786377709,46.46786163522013,52.1018064516129,54.77979057591623,53.027990430622005,55.645519480519475,56.11050561797753,51.7139751552795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
