iter	RMSE
0	151.3625902
1	147.7923537
2	144.3927776
3	141.0802896
4	137.8411107
5	134.7327457
6	131.6814584
7	128.7422855
8	125.9370427
9	123.1030923
10	120.4002669
11	117.8255331
12	115.2816268
13	112.8451675
14	110.4443983
15	108.2388044
16	106.0388837
17	103.8272531
18	101.7025712
19	99.77650609
20	97.87462712
21	95.92102241
22	94.12553525
23	92.43772017
24	90.65130797
25	89.04678001
26	87.4463389
27	85.96984849
28	84.42242498
29	83.0839664
30	81.66475443
31	80.36059547
32	79.04906974
33	77.76392041
34	76.56208634
35	75.43403797
36	74.28298901
37	73.17785241
38	72.11305709
39	70.98407627
40	70.01110891
41	69.1078905
42	68.20949141
43	67.32273205
44	66.4869167
45	65.62893245
46	64.75399757
47	64.00992297
48	63.28609831
49	62.50704138
50	61.77036622
51	61.11521299
52	60.39434945
53	59.75573206
54	59.15261667
55	58.50850933
56	57.94862613
57	57.34936009
58	56.84216266
59	56.18976514
60	55.64534547
61	55.1441421
62	54.59497891
63	54.12767569
64	53.66165256
65	53.20643785
66	52.74146328
67	52.24202938
68	51.811881
69	51.43480621
70	50.90835527
71	50.51194078
72	50.10442436
73	49.60585769
74	49.17622912
75	48.83397576
76	48.49967721
77	48.14612196
78	47.80322311
79	47.46148713
80	47.08771375
81	46.81169927
82	46.57635017
83	46.31855576
84	46.05344228
85	45.78316527
86	45.45401822
87	45.1964545
88	44.85961999
89	44.55409777
90	44.24797086
91	43.97468224
92	43.7053978
93	43.47265715
94	43.23555475
95	43.00037599
96	42.74073991
97	42.49413262
98	42.29089678
99	42.15674997
100	41.90654871
101	41.67849487
102	41.46128247
103	41.29244329
104	41.12403198
105	40.93251277
106	40.685845
107	40.52104605
108	40.31142921
109	40.17475746
110	39.99305242
111	39.85298909
112	39.68553735
113	39.55672427
114	39.34362331
115	39.15862197
116	39.02346619
117	38.8965698
118	38.7283639
119	38.59450199
120	38.4762589
121	38.33646348
122	38.18073524
123	38.03070978
124	37.90152723
125	37.77883117
126	37.66320453
127	37.56385566
128	37.43612949
129	37.29428872
130	37.18026252
131	37.00817732
132	36.89518973
133	36.78764547
134	36.69691738
135	36.5430043
136	36.3957771
137	36.25389429
138	36.16849195
139	36.03512074
140	35.93878256
141	35.85089267
142	35.74517475
143	35.62408584
144	35.46865547
145	35.38403259
146	35.33497517
147	35.19071139
148	35.12306507
149	34.9830748
150	34.93306658
151	34.86158782
152	34.74411247
153	34.64877931
154	34.55053256
155	34.49774864
156	34.39774858
157	34.2914734
158	34.15017438
159	34.03188601
160	33.97513989
161	33.90288638
162	33.76819692
163	33.68172269
164	33.61634521
165	33.49148426
166	33.42513844
167	33.30261982
168	33.21974506
169	33.12537086
170	33.07215783
171	33.00573491
172	32.94283701
173	32.82901659
174	32.76493957
175	32.69567024
176	32.62867807
177	32.55919875
178	32.47903481
179	32.39416642
180	32.30212755
181	32.25628619
182	32.10505287
183	32.01001262
184	31.91091043
185	31.82230591
186	31.75993301
187	31.66902849
188	31.61262338
189	31.5247242
190	31.43007094
191	31.35377618
192	31.25352643
193	31.14688153
194	31.067541
195	30.99831846
196	30.92790824
197	30.86368916
198	30.81931052
199	30.75308184
200	30.68259925
201	30.59745616
202	30.55309561
203	30.46370428
204	30.43469469
205	30.38106882
206	30.29410464
207	30.21982012
208	30.17445399
209	30.12887858
210	30.06079485
211	30.0093628
212	29.97258357
213	29.91478712
214	29.80981383
215	29.70731308
216	29.62831184
217	29.56369735
218	29.48913865
219	29.43139441
220	29.33576601
221	29.29262712
222	29.25224176
223	29.17318509
224	29.10574802
225	28.99745957
226	28.95633023
227	28.90675448
228	28.85431577
229	28.77842521
230	28.69983254
231	28.65471341
232	28.58565297
233	28.52675185
234	28.47707789
235	28.4116886
236	28.33683558
237	28.29024678
238	28.23964524
239	28.1647131
240	28.11552461
241	28.03833421
242	27.98925191
243	27.92220645
244	27.85052466
245	27.81475277
246	27.76365185
247	27.6840708
248	27.65017791
249	27.57495005
250	27.51555573
251	27.44734882
252	27.40798572
253	27.32947121
254	27.26934757
255	27.22713984
256	27.1546515
257	27.07521817
258	27.04770773
259	27.00348741
260	26.95412596
261	26.88850726
262	26.84622767
263	26.80348682
264	26.74673537
265	26.68196323
266	26.6246745
267	26.57564197
268	26.51054774
269	26.46940909
270	26.43348318
271	26.40190457
272	26.35626241
273	26.2909364
274	26.26673255
275	26.20239277
276	26.14766729
277	26.11627096
278	26.06818815
279	26.01157605
280	25.97453126
281	25.94883958
282	25.90545543
283	25.85825442
284	25.82725196
285	25.79358207
286	25.7338335
287	25.70900242
288	25.66894256
289	25.63097875
290	25.58257883
291	25.55375328
292	25.52690767
293	25.49061584
294	25.46807117
295	25.43618426
296	25.41336074
297	25.37703725
298	25.32105508
299	25.27521117
300	25.24366795
301	25.20112903
302	25.16954848
303	25.13348728
304	25.10622249
305	25.05015399
306	25.00641774
307	24.97118074
308	24.91987062
309	24.89412775
310	24.85924056
311	24.81251378
312	24.78884779
313	24.7408178
314	24.70212369
315	24.68359423
316	24.65623305
317	24.60395883
318	24.57426418
319	24.54345233
320	24.51665677
321	24.49158913
322	24.44487923
323	24.43041465
324	24.39153822
325	24.35616748
326	24.31277377
327	24.29291284
328	24.264158
329	24.24987168
330	24.21613213
331	24.1799139
332	24.14089435
333	24.11420242
334	24.06879832
335	24.02958097
336	24.00828061
337	23.97701815
338	23.96254752
339	23.92165529
340	23.89827052
341	23.87916269
342	23.85688933
343	23.84096356
344	23.80384636
345	23.7807512
346	23.75198508
347	23.71515793
348	23.69810834
349	23.67496461
350	23.64125287
351	23.61241176
352	23.59753344
353	23.56828672
354	23.53719993
355	23.49954057
356	23.47546741
357	23.44653211
358	23.40424797
359	23.35430438
360	23.33970358
361	23.3093887
362	23.27791976
363	23.25513686
364	23.22989334
365	23.2050183
366	23.19060976
367	23.15913404
368	23.12504309
369	23.09828851
370	23.06410216
371	23.04049237
372	23.00962599
373	22.96833981
374	22.94576002
375	22.91713011
376	22.89631227
377	22.86647569
378	22.82557855
379	22.81205578
380	22.77913794
381	22.75458426
382	22.72569385
383	22.70042134
384	22.67742043
385	22.65019104
386	22.6260944
387	22.61361956
388	22.59861549
389	22.55538731
390	22.54242449
391	22.5063591
392	22.48213011
393	22.46731043
394	22.43863033
395	22.42225145
396	22.40670223
397	22.39164284
398	22.36861477
399	22.34269596
400	22.32600229
401	22.30727884
402	22.28478207
403	22.26372365
404	22.25233899
405	22.22620718
406	22.20273307
407	22.16500639
408	22.12911409
409	22.12080641
410	22.09336589
411	22.06572222
412	22.03653458
413	22.01688999
414	21.99557078
415	21.97719525
416	21.96213323
417	21.93203992
418	21.91017271
419	21.87996377
420	21.8554939
421	21.83110881
422	21.81807694
423	21.79094318
424	21.7739832
425	21.75854904
426	21.74046864
427	21.72609915
428	21.69742289
429	21.67704252
430	21.66141773
431	21.64008395
432	21.61373586
433	21.57472606
434	21.56066171
435	21.54053962
436	21.51315313
437	21.49734236
438	21.47721575
439	21.45207339
440	21.44144626
441	21.4289254
442	21.39725171
443	21.37532966
444	21.35212223
445	21.3232926
446	21.30733472
447	21.28663929
448	21.25499426
449	21.23151898
450	21.2103157
451	21.17787564
452	21.1619568
453	21.14891576
454	21.1255104
455	21.10785061
456	21.08067094
457	21.07311771
458	21.06227119
459	21.03664553
460	21.02481912
461	21.00906503
462	20.98523639
463	20.97399048
464	20.96212394
465	20.93919944
466	20.92765418
467	20.91014285
468	20.88872764
469	20.87073658
470	20.84924007
471	20.83604181
472	20.82083066
473	20.79953679
474	20.77749594
475	20.76205467
476	20.74686005
477	20.73191772
478	20.7134496
479	20.70296551
480	20.68468466
481	20.67431913
482	20.65904628
483	20.64489228
484	20.63351055
485	20.60606946
486	20.58915246
487	20.57217004
488	20.55985833
489	20.53325605
490	20.51528307
491	20.49273218
492	20.47779449
493	20.46065064
494	20.45028906
495	20.43060374
496	20.41581817
497	20.40014003
498	20.37887547
499	20.35617622
500	20.3448252
501	20.32857521
502	20.3044929
503	20.29460519
504	20.28122516
505	20.25971876
506	20.24656096
507	20.22844709
508	20.20545692
509	20.17939338
510	20.16444366
511	20.14328397
512	20.12656497
513	20.1100617
514	20.09219516
515	20.07945176
516	20.06154158
517	20.04617782
518	20.03161947
519	20.01631759
520	19.98689786
521	19.96952112
522	19.9562461
523	19.94112003
524	19.92027434
525	19.90388916
526	19.88568911
527	19.87206538
528	19.8544209
529	19.84449203
530	19.83507715
531	19.82280664
532	19.81065017
533	19.79806797
534	19.78855236
535	19.76955192
536	19.75463826
537	19.74416721
538	19.72961435
539	19.71942938
540	19.70171967
541	19.68934477
542	19.67335603
543	19.66121836
544	19.64848461
545	19.63761306
546	19.62820325
547	19.61495978
548	19.60080477
549	19.59261284
550	19.57577662
551	19.56574212
552	19.55592432
553	19.53687119
554	19.5221572
555	19.51094642
556	19.5050924
557	19.49618534
558	19.47805088
559	19.46662136
560	19.45865553
561	19.44318961
562	19.42488744
563	19.41138831
564	19.40040973
565	19.39324912
566	19.37990599
567	19.37011055
568	19.36211312
569	19.35603125
570	19.34957061
571	19.33372035
572	19.31686901
573	19.30116637
574	19.27796204
575	19.27045888
576	19.26017549
577	19.24776644
578	19.23260236
579	19.22220032
580	19.20407336
581	19.19102052
582	19.17549401
583	19.16093186
584	19.14810692
585	19.14233166
586	19.124286
587	19.11657347
588	19.10809566
589	19.09520305
590	19.08151317
591	19.06500238
592	19.0550018
593	19.03963586
594	19.02943346
595	19.02313097
596	19.01295945
597	19.00087095
598	18.98618739
599	18.97728322
600	18.96305442
601	18.95392284
602	18.94246774
603	18.93072871
604	18.92089455
605	18.91111018
606	18.89775515
607	18.89175995
608	18.88186785
609	18.87228597
610	18.86116097
611	18.8523706
612	18.8471061
613	18.83596213
614	18.82415068
615	18.8160864
616	18.8075205
617	18.79846033
618	18.78570134
619	18.77443379
620	18.7635086
621	18.75750836
622	18.74202484
623	18.73645815
624	18.7241152
625	18.71677539
626	18.70862739
627	18.6963735
628	18.68337225
629	18.67403832
630	18.66169064
631	18.64706947
632	18.62948137
633	18.61879091
634	18.60687027
635	18.58991589
636	18.57983429
637	18.57134932
638	18.56134233
639	18.54917744
640	18.54262851
641	18.53514383
642	18.52690081
643	18.52187041
644	18.51210106
645	18.50024625
646	18.49231271
647	18.48296547
648	18.47334611
649	18.4660637
650	18.45564441
651	18.44471973
652	18.43889095
653	18.42395096
654	18.4184402
655	18.40648289
656	18.38995836
657	18.37142087
658	18.35871936
659	18.34890444
660	18.33986999
661	18.3278915
662	18.32207674
663	18.3158891
664	18.30878574
665	18.29648766
666	18.28984344
667	18.28014918
668	18.26755512
669	18.25932343
670	18.25069488
671	18.23758757
672	18.23189272
673	18.2212465
674	18.21233429
675	18.20081925
676	18.19168135
677	18.17953246
678	18.16654911
679	18.15772286
680	18.1492669
681	18.14431458
682	18.13579908
683	18.12931282
684	18.11963297
685	18.11198411
686	18.10394071
687	18.09730418
688	18.0911268
689	18.07897556
690	18.06698926
691	18.0565174
692	18.04443672
693	18.03364164
694	18.02543398
695	18.02080012
696	18.0126822
697	18.0027535
698	17.99528999
699	17.98865253
700	17.97309951
701	17.96878812
702	17.95586228
703	17.94279905
704	17.93070714
705	17.92464413
706	17.91577655
707	17.90379669
708	17.89517695
709	17.88876449
710	17.87490473
711	17.86879833
712	17.86403835
713	17.85604561
714	17.84760225
715	17.84168108
716	17.83731632
717	17.82209021
718	17.80881612
719	17.79794918
720	17.78378633
721	17.77679009
722	17.77028753
723	17.75882651
724	17.74787889
725	17.74151032
726	17.73346462
727	17.72054281
728	17.71358944
729	17.70667485
730	17.7002282
731	17.6929101
732	17.68236917
733	17.67487109
734	17.6657071
735	17.65350751
736	17.64616402
737	17.63154691
738	17.62434471
739	17.61846424
740	17.60884845
741	17.60401792
742	17.59723488
743	17.59172356
744	17.58206398
745	17.57366718
746	17.56438265
747	17.55996566
748	17.55367121
749	17.54489378
750	17.53756085
751	17.53221107
752	17.52219246
753	17.51517333
754	17.50705984
755	17.49882709
756	17.49463508
757	17.48674334
758	17.48032904
759	17.47432803
760	17.46917854
761	17.45684172
762	17.44859763
763	17.44410006
764	17.42989632
765	17.42245722
766	17.41790841
767	17.41023742
768	17.40245393
769	17.39567319
770	17.39011949
771	17.37634315
772	17.36710641
773	17.35796189
774	17.35009825
775	17.34456421
776	17.33564436
777	17.32809757
778	17.32268676
779	17.31779149
780	17.30618944
781	17.29776951
782	17.29416004
783	17.28773998
784	17.28108697
785	17.27596835
786	17.26954556
787	17.26119949
788	17.25249825
789	17.24819632
790	17.24292531
791	17.2328368
792	17.22756082
793	17.22258369
794	17.21395944
795	17.21000107
796	17.20384184
797	17.19628356
798	17.18940547
799	17.18600035
800	17.17858748
801	17.17066548
802	17.16104025
803	17.15573318
804	17.1493082
805	17.14436814
806	17.1394815
807	17.1352088
808	17.12686447
809	17.12142539
810	17.11250939
811	17.10730732
812	17.098105
813	17.0925036
814	17.07940673
815	17.0720729
816	17.06602292
817	17.05912543
818	17.05409015
819	17.04680082
820	17.04091675
821	17.03609969
822	17.02876498
823	17.02353551
824	17.0140688
825	17.00859719
826	17.00385111
827	16.99484948
828	16.98955953
829	16.98299232
830	16.97415171
831	16.96689216
832	16.95506395
833	16.95028225
834	16.94670245
835	16.93962271
836	16.93003813
837	16.92669645
838	16.92056929
839	16.91456984
840	16.91009984
841	16.90422288
842	16.89611005
843	16.88687754
844	16.88074438
845	16.87672813
846	16.87228266
847	16.86853147
848	16.8653214
849	16.85994552
850	16.85550531
851	16.84894554
852	16.83934948
853	16.83592485
854	16.82953171
855	16.82522478
856	16.81827788
857	16.81498509
858	16.80643639
859	16.80230779
860	16.79720345
861	16.79040765
862	16.78363406
863	16.77814774
864	16.77346169
865	16.76553316
866	16.76049142
867	16.75443941
868	16.7475126
869	16.74188023
870	16.73524668
871	16.73001633
872	16.72380787
873	16.71766109
874	16.71458814
875	16.71036015
876	16.70359287
877	16.69972078
878	16.69009667
879	16.68679191
880	16.6798406
881	16.67370813
882	16.66892429
883	16.66246375
884	16.6549535
885	16.65031228
886	16.64399203
887	16.63953155
888	16.63371161
889	16.62828477
890	16.62293476
891	16.61760996
892	16.61419026
893	16.61050395
894	16.60235738
895	16.59419271
896	16.59028856
897	16.58713984
898	16.58086881
899	16.57293135
900	16.57019402
901	16.56232863
902	16.5583483
903	16.55194097
904	16.54513242
905	16.53998788
906	16.53458287
907	16.53042087
908	16.52292528
909	16.51835136
910	16.51380822
911	16.50880648
912	16.50416569
913	16.4992852
914	16.4922186
915	16.48744163
916	16.48340592
917	16.47851943
918	16.47507855
919	16.47230143
920	16.46679132
921	16.46244488
922	16.45729183
923	16.45040273
924	16.44413612
925	16.43614689
926	16.43130781
927	16.42624887
928	16.4216648
929	16.41730384
930	16.41211114
931	16.40482048
932	16.39759807
933	16.39402327
934	16.38934412
935	16.38565079
936	16.37643882
937	16.3686257
938	16.36539854
939	16.35833003
940	16.35359568
941	16.34614009
942	16.33911131
943	16.33558137
944	16.33147077
945	16.3269521
946	16.31890682
947	16.31424657
948	16.30892976
949	16.30413443
950	16.29867193
951	16.29050043
952	16.28646806
953	16.2822708
954	16.27874304
955	16.2730177
956	16.26819336
957	16.26187335
958	16.2561663
959	16.25245609
960	16.24837991
961	16.24563749
962	16.2412826
963	16.23702153
964	16.23209309
965	16.22819549
966	16.22225825
967	16.21661473
968	16.21236722
969	16.20933163
970	16.20096594
971	16.19777994
972	16.19468784
973	16.18939351
974	16.18639393
975	16.18152641
976	16.17738054
977	16.17387416
978	16.17097503
979	16.16734095
980	16.16027207
981	16.15548647
982	16.14917668
983	16.14361561
984	16.13747655
985	16.1324806
986	16.12635085
987	16.12115609
988	16.11853104
989	16.11010144
990	16.10498406
991	16.0985345
992	16.09214735
993	16.0887374
994	16.08548163
995	16.07770443
996	16.07194191
997	16.06862154
998	16.06273476
999	16.05954591
1000	16.05024226
1001	16.04774015
1002	16.0408509
1003	16.03401215
1004	16.02930543
1005	16.02593555
1006	16.01852243
1007	16.01300092
1008	16.00808843
1009	16.00460737
1010	15.99819001
1011	15.99422669
1012	15.99096545
